"","RNA-hipocampo-5xFAD-A.bam","RNA-hipocampo-5xFAD-B.bam","RNA-hipocampo-WT-A.bam","RNA-hipocampo-WT-B.bam"
"ENSMUSG00000102659",0,0,0,0
"ENSMUSG00000103924",0,0,0,0
"ENSMUSG00000104132",0,0,0,0
"ENSMUSG00000102747",0,0,0,0
"ENSMUSG00000102386",1,1,2,1
"ENSMUSG00000103004",0,0,0,0
"ENSMUSG00000104516",1,0,2,0
"ENSMUSG00000101618",0,0,0,0
"ENSMUSG00000099458",0,0,0,0
"ENSMUSG00000088111",0,0,0,0
"ENSMUSG00000073722",0,0,0,0
"ENSMUSG00000095256",0,0,0,0
"ENSMUSG00000100310",0,0,0,0
"ENSMUSG00000101514",0,0,0,0
"ENSMUSG00000101033",0,0,0,0
"ENSMUSG00000101372",0,0,0,0
"ENSMUSG00000103241",0,0,0,0
"ENSMUSG00000086240",1,0,2,0
"ENSMUSG00000048411",0,0,0,0
"ENSMUSG00000081557",0,0,1,0
"ENSMUSG00000058590",0,0,0,0
"ENSMUSG00000101235",0,0,0,0
"ENSMUSG00000064433",0,0,0,0
"ENSMUSG00000080625",0,0,0,0
"ENSMUSG00000080391",0,0,0,0
"ENSMUSG00000099257",0,0,0,0
"ENSMUSG00000099492",8,9,8,7
"ENSMUSG00000118548",0,0,0,0
"ENSMUSG00000101726",0,0,0,0
"ENSMUSG00000096829",0,0,0,0
"ENSMUSG00000098883",0,0,0,0
"ENSMUSG00000053185",0,0,0,0
"ENSMUSG00000100261",3,1,1,1
"ENSMUSG00000101180",0,0,0,0
"ENSMUSG00000048874",16,16,20,23
"ENSMUSG00000103783",0,0,0,0
"ENSMUSG00000104315",0,0,0,0
"ENSMUSG00000117310",0,0,0,0
"ENSMUSG00000026064",0,0,0,0
"ENSMUSG00000117091",0,0,0,0
"ENSMUSG00000086726",0,0,0,0
"ENSMUSG00000086727",0,0,0,0
"ENSMUSG00000100237",0,0,0,0
"ENSMUSG00000098529",0,0,0,0
"ENSMUSG00000100910",0,0,0,0
"ENSMUSG00000099796",0,0,0,0
"ENSMUSG00000050217",0,0,0,0
"ENSMUSG00000026063",0,0,0,0
"ENSMUSG00000077664",0,0,0,0
"ENSMUSG00000100205",0,0,0,0
"ENSMUSG00000100592",0,0,0,0
"ENSMUSG00000094215",0,0,0,0
"ENSMUSG00000101093",0,0,0,0
"ENSMUSG00000070960",2,0,0,0
"ENSMUSG00000088620",0,0,0,0
"ENSMUSG00000082159",0,0,0,0
"ENSMUSG00000026058",0,0,1,0
"ENSMUSG00000064688",0,0,0,0
"ENSMUSG00000103482",4,0,1,1
"ENSMUSG00000104498",0,0,0,0
"ENSMUSG00000104313",0,0,0,0
"ENSMUSG00000102865",3,0,1,0
"ENSMUSG00000102321",0,0,0,0
"ENSMUSG00000091318",0,1,1,1
"ENSMUSG00000089489",0,0,0,0
"ENSMUSG00000104433",0,0,0,0
"ENSMUSG00000089395",0,0,0,0
"ENSMUSG00000102926",0,0,0,0
"ENSMUSG00000100497",0,0,0,0
"ENSMUSG00000102917",0,0,0,0
"ENSMUSG00000100481",5,3,3,4
"ENSMUSG00000100590",0,0,0,0
"ENSMUSG00000088750",0,0,0,0
"ENSMUSG00000104230",0,0,0,0
"ENSMUSG00000101754",0,0,0,0
"ENSMUSG00000065223",0,0,0,0
"ENSMUSG00000100318",0,0,0,0
"ENSMUSG00000101612",0,0,0,0
"ENSMUSG00000065260",0,0,0,0
"ENSMUSG00000026134",0,4,1,4
"ENSMUSG00000101682",0,0,0,0
"ENSMUSG00000102714",0,0,0,0
"ENSMUSG00000102093",0,0,0,0
"ENSMUSG00000103746",0,0,0,0
"ENSMUSG00000102198",0,0,0,0
"ENSMUSG00000004768",11,7,6,8
"ENSMUSG00000042215",1,0,7,4
"ENSMUSG00000103072",0,0,0,0
"ENSMUSG00000042197",6,6,9,8
"ENSMUSG00000081402",6,4,12,7
"ENSMUSG00000042182",35,34,37,28
"ENSMUSG00000104416",0,0,0,0
"ENSMUSG00000026131",34,37,40,29
"ENSMUSG00000103596",0,0,0,0
"ENSMUSG00000099382",0,0,0,0
"ENSMUSG00000084506",0,0,0,0
"ENSMUSG00000103364",1,3,0,3
"ENSMUSG00000105982",0,0,0,0
"ENSMUSG00000096992",0,0,0,0
"ENSMUSG00000103001",0,0,0,0
"ENSMUSG00000104397",0,0,0,0
"ENSMUSG00000102839",0,0,0,0
"ENSMUSG00000101206",0,0,0,0
"ENSMUSG00000101462",0,0,0,0
"ENSMUSG00000102336",0,0,0,1
"ENSMUSG00000092852",0,0,0,0
"ENSMUSG00000042111",8,7,11,8
"ENSMUSG00000101711",0,0,1,0
"ENSMUSG00000026127",13,6,7,9
"ENSMUSG00000026126",1,4,1,0
"ENSMUSG00000100280",0,0,0,0
"ENSMUSG00000101223",0,0,0,0
"ENSMUSG00000026125",0,0,0,0
"ENSMUSG00000101116",0,0,0,0
"ENSMUSG00000026124",0,0,0,0
"ENSMUSG00000101803",0,0,0,0
"ENSMUSG00000037529",0,0,0,0
"ENSMUSG00000045815",0,0,0,0
"ENSMUSG00000045174",11,16,13,24
"ENSMUSG00000100524",0,0,0,0
"ENSMUSG00000102499",0,0,0,0
"ENSMUSG00000103521",0,0,0,0
"ENSMUSG00000104098",0,0,0,0
"ENSMUSG00000037509",67,88,76,99
"ENSMUSG00000102537",0,0,0,0
"ENSMUSG00000102612",0,0,0,0
"ENSMUSG00000118272",0,0,0,0
"ENSMUSG00000104002",6,2,6,3
"ENSMUSG00000037503",97,73,104,103
"ENSMUSG00000104358",0,0,0,0
